"timestamp","light","distance","__dt"
"2021-06-23T11:35:48",,"33.5567","2021-06-23 00:00:00.000"
"2021-06-23T11:35:48","65.86081",,"2021-06-23 00:00:00.000"
"2021-06-10T17:02:39",,"52.06186","2021-06-10 00:00:00.000"
"2021-06-10T17:02:39","0.0",,"2021-06-10 00:00:00.000"
"2021-06-26T08:49:48",,"30.34364","2021-06-26 00:00:00.000"
"2021-06-26T08:49:48","41.9536",,"2021-06-26 00:00:00.000"
"2021-06-26T09:27:32","54.43223",,"2021-06-26 00:00:00.000"
"2021-06-26T09:27:32",,"36.6323","2021-06-26 00:00:00.000"
"2021-06-26T09:27:53","54.43223",,"2021-06-26 00:00:00.000"
"2021-06-26T09:27:53",,"51.04811","2021-06-26 00:00:00.000"
"2021-06-10T14:55:01",,"40.20618","2021-06-10 00:00:00.000"
"2021-06-10T14:55:01","34.60318",,"2021-06-10 00:00:00.000"
"2021-06-10T14:55:22",,"38.64261","2021-06-10 00:00:00.000"
"2021-06-10T14:55:22","34.72527",,"2021-06-10 00:00:00.000"
"2021-06-10T17:20:14",,"85.82474","2021-06-10 00:00:00.000"
"2021-06-10T17:20:14","0.0",,"2021-06-10 00:00:00.000"
"2021-06-20T13:44:44",,"42.7835","2021-06-20 00:00:00.000"
"2021-06-20T13:44:44","0.0",,"2021-06-20 00:00:00.000"
"2021-06-04T20:02:13",,"26.54639","2021-06-04 00:00:00.000"
"2021-06-04T20:02:13","0.0",,"2021-06-04 00:00:00.000"
"2021-06-23T12:33:40","68.6691",,"2021-06-23 00:00:00.000"
"2021-06-23T12:33:40",,"278.3849","2021-06-23 00:00:00.000"
"2021-06-26T07:51:06","49.49939",,"2021-06-26 00:00:00.000"
"2021-06-26T07:51:06",,"41.78694","2021-06-26 00:00:00.000"
"2021-06-26T07:51:27","50.28083",,"2021-06-26 00:00:00.000"
"2021-06-26T07:51:27",,"27.47423","2021-06-26 00:00:00.000"
"2021-06-22T09:23:09",,"41.37457","2021-06-22 00:00:00.000"
"2021-06-22T09:23:09","0.0",,"2021-06-22 00:00:00.000"
"2021-06-18T12:49:17","0.0",,"2021-06-18 00:00:00.000"
"2021-06-18T12:49:17",,"51.95877","2021-06-18 00:00:00.000"
"2021-06-03T20:56:37","34.7497",,"2021-06-03 00:00:00.000"
"2021-06-03T20:56:37",,"107.1478","2021-06-03 00:00:00.000"
"2021-06-03T20:56:58","34.77412",,"2021-06-03 00:00:00.000"
"2021-06-03T20:56:58",,"106.7182","2021-06-03 00:00:00.000"
"2021-06-26T08:13:34","47.52137",,"2021-06-26 00:00:00.000"
"2021-06-26T08:13:34",,"37.81787","2021-06-26 00:00:00.000"
"2021-06-26T08:13:55",,"43.23024","2021-06-26 00:00:00.000"
"2021-06-26T08:13:55","47.32601",,"2021-06-26 00:00:00.000"
"2021-06-04T19:57:58","0.0",,"2021-06-04 00:00:00.000"
"2021-06-04T19:57:58",,"17.73196","2021-06-04 00:00:00.000"
"2021-06-04T19:58:19",,"4.965636","2021-06-04 00:00:00.000"
"2021-06-04T19:58:19","0.0",,"2021-06-04 00:00:00.000"
"2021-06-26T08:20:48","48.05861",,"2021-06-26 00:00:00.000"
"2021-06-26T08:20:48",,"38.59107","2021-06-26 00:00:00.000"
"2021-06-23T11:33:48","0.0",,"2021-06-23 00:00:00.000"
"2021-06-23T11:33:48",,"39.15808","2021-06-23 00:00:00.000"
"2021-06-22T08:50:33","0.0",,"2021-06-22 00:00:00.000"
"2021-06-22T08:50:33",,"49.05498","2021-06-22 00:00:00.000"
"2021-06-22T08:50:53","0.0",,"2021-06-22 00:00:00.000"
